num;eng;rus;status;error
1;few;несколько;frase
2;little;немного;frase
3;a sprinkling;немного;frase
4;table;стол;frase
5;a trifle;немножко;frase
6;aaron;эрон;word
7;abac;счеты;word
8;abaca;абака;word
9;abaci;счеты;word
10;aback;назад;word
11;abacus;счеты;word
12;abaft;позади;word
13;abaissement;унижение;word
14;abalienate;передавать;word
15;abalienation;передача;word
16;abandon;покидать, отказываться от;word
17;abandon convertibility;прекратить свободный обмен валюты;frase
18;abandoned;покидать, заброшенный;word
19;abandonedly;беззаботно;word
20;abandonee;страховщик;word
21;abandonment;отказ;word
22;abarognosis;абарогонозия;word
23;abarthrosis;диартроз;word
24;abase;снижать;word
25;abasedly;униженно;word
26;abasement;снижение;word
27;abash;смущать;word
28;abashed;смущать, смущенный;word
29;abashedly;смущенно;word
30;abashment;смущение;word
31;abasia;абазия;word
32;abasive;унижающий;word
33;abatable;снижаемый;word
34;abate;уменьшать;word
35;abated;уменьшать, уменьшенный;word
36;abatement;снижение;word
37;abatements;снижение;word
38;abater;облегчающий, уменьшающий;word
39;abatis;засека;word
40;abator;облегчающий, уменьшающий;word
41;abattoir;бойня;word
42;abbacy;аббатство;word
43;abbatial;аббатский;word
44;abbe;аббат;word
45;abbes;аббатиса;word
46;abbess;аббатиса, игуменья;word
47;abbey;аббатство;word
48;abbot;аббат, настоятель;word
49;abbotship;аббатство;word
50;abbr;сокращение;word
51;abbrev;сокращение;word
52;abbreviate;укорачивать;word
53;abbreviated;укорачивать, краткий;word
54;abbreviation;сокращение;word
55;abbreviator;аббревиатор;word
56;abc;азбука, азбучный;word
57;abdicable;подверженный отказу;word
58;abdicate;отказываться;word
59;abdication;отказ;word
60;abdicator;отреченец;word
61;abdomen;живот;word
62;abdominal;брюшной;word
63;abdominally;внутри брюшины;word
64;abducent;отводящий;word
65;abduct;похищать;word
66;abducted;похищать, похищенный;word
67;abduction;отведение;word
68;abductive;отводящий;word
69;abductively;отводя;word
70;abductor;абдуктор;word
71;abeam;на траверзе;word
72;abecedarian;ученик, элементарный;word
73;abed;в постели;word
74;abel;абель;word
75;abele;белый, тополь;word
76;abenteric;внекишечный;word
77;aberrance;заблуждение;word
78;aberrancy;заблуждение;word
79;aberrant;заблуждающийся;word
80;aberration;заблуждение;word
81;aberrational;аберрационный;word
82;aberrometer;аберрометр;word
83;abet;способствовать;word
84;abetment;содействие;word
85;abetter;подстрекатель;word
86;abetting;способствовать, способствующий;word
87;abettor;подстрекатель;word
88;abeyance;временное, бездействие;word
89;abeyant;бездействующий, оставшийся без владельца;word
90;abhor;ненавидеть;word
91;abhorrence;отвращение, несовместимость;word
92;abhorrent;отвратительный, несовместимый;word
93;abhorrently;несовместимо;word
94;abhorrer;ненавистник;word
95;abidance;соответствие;word
96;abide;соблюдать;word
97;abide by;твердо держаться;frase
98;abidence;выполнение;word
99;abiding;соблюдать, постоянный;word
100;abidingly;неизменно;word
101;abidjan;абиджан;word
102;abietate;соль абиетиновой кислоты;word
103;abigail;абигайль;word
104;abilitionism;аболиционизм;word
105;ability;способность;word
106;ability produce;производственные возможности, производительность;frase
107;abiogenesis;абиогенез;word
108;abiogenetic;абиогенетический;word
109;abiogenist;абиогенетик;word
110;abject;жалкий;word
111;abjection;приниженность;word
112;abjectly;приниженно;word
113;abjectness;низость;word
114;abjuration;отречение;word
115;abjuratory;отречение;word
116;abjure;отказываться;word
117;abjurer;отреченец;word
118;ablate;удалять;word
119;ablated;удалять, удаленный;word
120;ablation;абляция, ампутация;word
121;ablatival;аблятивный;word
122;ablative;абляционный, материал, абляционный;word
123;ablaut;абляут;word
124;ablaze;пылать;word
125;able;способный;word
126;able-bodied;физически годный, работоспособный;word
127;ablebodied;трудоспособный;word
128;ableness;годность;word
129;abler;более, годный;word
130;ablest;наиболее, годный;word
131;ablins;возможно;word
132;abloom;Пв цвету;word
133;ablution;промывка;word
134;ablutionary;промывочный;word
135;ably;умело;word
136;abnegate;отказываться от;word
137;abnegation;отрицание;word
138;abnegative;отрицательный;word
139;abnegator;отрицатель;word
140;abnormal;аварийный;word
141;abnormal termination;аварийное завершение;frase
142;abnormality;аномалия;word
143;abnormally;ненормально;word
144;abnormity;аномалия;word
145;aboard;на борт;word
146;abode;местопребывание;word
147;abolish;упразднять, отменять;word
148;abolishment;отмена;word
149;abolition;уничтожение;word
150;abolition committee;ликвидационная комиссия;frase
151;abolitionary;аболиционистский;word
152;abolitionism;аболиционизм;word
153;abolitionist;аболиционист;word
154;abomasum;сычуг;word
155;abomb;атомная, бомба;word
156;abominable;отвратительный;word
157;abominably;отвратительно;word
158;abominate;ненавидеть;word
159;abomination;отвращение;word
160;abominations;отвращение;word
161;abominator;ненавистник;word
162;abonent;абонент;word
163;aboriginal;исконный;word
164;aborigine;коренной, житель;word
165;aborning;при рождении;word
166;abort;прерывать, отказ;word
167;aborted;прерывать, прерванный;word
